ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten
;1;Home;;1;
;1;Mystery Boxy;Home;0;/home/mystery-boxy
;1;Zakupy Wg Kategorii;Home;0;/home/zakupy-wg-kategorii
;1;Do Domu, Biura I Kuchni;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/do-domu-biura-i-kuchni
;1;Akcesoria Kuchenne;Do Domu, Biura I Kuchni;0;/do-domu-biura-i-kuchni/akcesoria-kuchenne
;1;Do Sypialni  Pokoju;Do Domu, Biura I Kuchni;0;/pokoju
;1;Kubki  Kufle  Miski;Do Domu, Biura I Kuchni;0;/miski
;1;Lampki  Skarbonki;Do Domu, Biura I Kuchni;0;/skarbonki
;1;Zegary  Budziki;Do Domu, Biura I Kuchni;0;/budziki
;1;Pozostałe Akcesoria;Do Domu, Biura I Kuchni;0;/do-domu-biura-i-kuchni/pozostale-akcesoria
;1;Gadżety;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/gadzety
;1;Breloki;Gadżety;0;/gadzety/breloki
;1;Długopisy  Zakładki;Gadżety;0;/zakladki
;1;Gry  Puzzle;Gadżety;0;/puzzle
;1;Maskotki;Gadżety;0;/gadzety/maskotki
;1;Pozostałe Gadżety;Gadżety;0;/gadzety/pozostale-gadzety
;1;Figurki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/figurki
;1;Figurki Action Modele;Figurki;0;/modele
;1;Funko Pop!;Figurki;0;/figurki/funko-pop
;1;Limited Edition (Exclusive);Funko Pop!;0;/funko-pop/limited-edition-exclusive
;1;Figurki Action Modele;Funko Pop!;0;/modele
;1;Mini Figurki;Figurki;0;/figurki/mini-figurki
;1;Statuetki;Figurki;0;/figurki/statuetki
;1;Tubbz;Figurki;0;/figurki/tubbz
;1;Uszkodzone Opakowania;Figurki;0;/figurki/uszkodzone-opakowania
;1;Odzież;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/odziez
;1;Koszulki Męskie;Odzież;0;/odziez/koszulki-meskie
;1;Koszulki Damskie;Odzież;0;/odziez/koszulki-damskie
;1;Bluzy;Odzież;0;/odziez/bluzy
;1;Pozostałe;Odzież;0;/odziez/pozostale
;1;Dodatki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/dodatki
;1;Biżuteria;Dodatki;0;/dodatki/bizuteria
;1;Bransoletki  Opaski;Dodatki;0;/opaski
;1;Czapki Z Daszkiem;Dodatki;0;/dodatki/czapki-z-daszkiem
;1;Czapki Zimowe;Dodatki;0;/dodatki/czapki-zimowe
;1;Portfele;Dodatki;0;/dodatki/portfele
;1;Plecaki;Dodatki;0;/dodatki/plecaki
;1;Szaliki;Dodatki;0;/dodatki/szaliki
;1;Torby & Worki;Dodatki;0;/dodatki/torby--worki
;1;Pozostałe;Dodatki;0;/dodatki/pozostale
;1;Repliki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/repliki
;1;Repliki Filmowe;Repliki;0;/repliki/repliki-filmowe
;1;Repliki Z Gier;Repliki;0;/repliki/repliki-z-gier
;1;Różdżki;Repliki;0;/repliki/rozdzki
;1;Gadżety Sportowe;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/gadzety-sportowe
;1;Gadżety Piłkarskie;Gadżety Sportowe;0;/gadzety-sportowe/gadzety-pilkarskie
;1;Gadżety Koszykarskie;Gadżety Sportowe;0;/gadzety-sportowe/gadzety-koszykarskie
;1;Inne Gadżety Sportowe;Gadżety Sportowe;0;/gadzety-sportowe/inne-gadzety-sportowe
;1;Akcesoria Szkolne;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/akcesoria-szkolne
;1;Zakupy Wg Tematyki;Home;0;/home/zakupy-wg-tematyki
