ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten
;1;Home;;1;
;1;Mystery Boxy;Home;0;/mystery-boxy
;1;Zakupy Wg Kategorii;Home;0;/zakupy-wg-kategorii
;1;Do Domu, Biura I Kuchni;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/do-domu-biura-i-kuchni
;1;Akcesoria Kuchenne;Do Domu, Biura I Kuchni;0;/do-domu-biura-i-kuchni/akcesoria-kuchenne
;1;Do Sypialni  Pokoju;Do Domu, Biura I Kuchni;0;/pokoju
;1;Kubki  Kufle  Miski;Do Domu, Biura I Kuchni;0;/miski
;1;Lampki  Skarbonki;Do Domu, Biura I Kuchni;0;/skarbonki
;1;Zegary  Budziki;Do Domu, Biura I Kuchni;0;/budziki
;1;Pozosta³e Akcesoria;Do Domu, Biura I Kuchni;0;/do-domu-biura-i-kuchni/pozostale-akcesoria
;1;Akcesoria Kuchenne;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/akcesoria-kuchenne
;1;Do Sypialni  Pokoju;Zakupy Wg Kategorii;0;/pokoju
;1;Kubki  Kufle  Miski;Zakupy Wg Kategorii;0;/miski
;1;Lampki  Skarbonki;Zakupy Wg Kategorii;0;/skarbonki
;1;Zegary  Budziki;Zakupy Wg Kategorii;0;/budziki
;1;Pozosta³e Akcesoria;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/pozostale-akcesoria
;1;Gad¿ety;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/gadzety
;1;Breloki;Gad¿ety;0;/gadzety/breloki
;1;D³ugopisy  Zak³adki;Gad¿ety;0;/zakladki
;1;Gry  Puzzle;Gad¿ety;0;/puzzle
;1;Maskotki;Gad¿ety;0;/gadzety/maskotki
;1;Pozosta³e Gad¿ety;Gad¿ety;0;/gadzety/pozostale-gadzety
;1;Breloki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/breloki
;1;D³ugopisy  Zak³adki;Zakupy Wg Kategorii;0;/zakladki
;1;Gry  Puzzle;Zakupy Wg Kategorii;0;/puzzle
;1;Maskotki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/maskotki
;1;Pozosta³e Gad¿ety;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/pozostale-gadzety
;1;Figurki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/figurki
;1;Figurki Action Modele;Figurki;0;/modele
;1;Funko Pop!;Figurki;0;/figurki/funko-pop
;1;Limited Edition (Exclusive);Funko Pop!;0;/funko-pop/limited-edition-exclusive
;1;Figurki Action Modele;Funko Pop!;0;/modele
;1;Limited Edition (Exclusive);Figurki;0;/figurki/limited-edition-exclusive
;1;Figurki Action Modele;Figurki;0;/modele
;1;Mini Figurki;Figurki;0;/figurki/mini-figurki
;1;Statuetki;Figurki;0;/figurki/statuetki
;1;Tubbz;Figurki;0;/figurki/tubbz
;1;Uszkodzone Opakowania;Figurki;0;/figurki/uszkodzone-opakowania
;1;Figurki Action Modele;Zakupy Wg Kategorii;0;/modele
;1;Funko Pop!;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/funko-pop
;1;Limited Edition (Exclusive);Funko Pop!;0;/funko-pop/limited-edition-exclusive
;1;Figurki Action Modele;Funko Pop!;0;/modele
;1;Limited Edition (Exclusive);Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/limited-edition-exclusive
;1;Figurki Action Modele;Zakupy Wg Kategorii;0;/modele
;1;Mini Figurki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/mini-figurki
;1;Statuetki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/statuetki
;1;Tubbz;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/tubbz
;1;Uszkodzone Opakowania;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/uszkodzone-opakowania
;1;Odzie¿;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/odziez
;1;Koszulki Mêskie;Odzie¿;0;/odziez/koszulki-meskie
;1;Koszulki Damskie;Odzie¿;0;/odziez/koszulki-damskie
;1;Bluzy;Odzie¿;0;/odziez/bluzy
;1;Pozosta³e;Odzie¿;0;/odziez/pozostale
;1;Koszulki Mêskie;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/koszulki-meskie
;1;Koszulki Damskie;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/koszulki-damskie
;1;Bluzy;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/bluzy
;1;Pozosta³e;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/pozostale
;1;Dodatki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/dodatki
;1;Bi¿uteria;Dodatki;0;/dodatki/bizuteria
;1;Bransoletki  Opaski;Dodatki;0;/opaski
;1;Czapki Z Daszkiem;Dodatki;0;/dodatki/czapki-z-daszkiem
;1;Czapki Zimowe;Dodatki;0;/dodatki/czapki-zimowe
;1;Portfele;Dodatki;0;/dodatki/portfele
;1;Plecaki;Dodatki;0;/dodatki/plecaki
;1;Szaliki;Dodatki;0;/dodatki/szaliki
;1;Torby & Worki;Dodatki;0;/dodatki/torby--worki
;1;Pozosta³e;Dodatki;0;/dodatki/pozostale
;1;Bi¿uteria;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/bizuteria
;1;Bransoletki  Opaski;Zakupy Wg Kategorii;0;/opaski
;1;Czapki Z Daszkiem;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/czapki-z-daszkiem
;1;Czapki Zimowe;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/czapki-zimowe
;1;Portfele;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/portfele
;1;Plecaki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/plecaki
;1;Szaliki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/szaliki
;1;Torby & Worki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/torby--worki
;1;Pozosta³e;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/pozostale
;1;Repliki;Zakupy Wg Kategorii;0;/zakupy-wg-kategorii/repliki
